title,description,component
Updated maxIdleTime default in the code to match core-default.xml,"HADOOP-2909 intended to set the server max idle time for a connection to twice the client value. (""The server-side max idle time should be greater than the client-side max idle time, for example, twice of the client-side max idle time."") This way when a server times out a connection it's due a crashed client and not an inactive client so we don't close client connections with outstanding requests (by setting 2x the client value on the server side the client should time out the connection first).    Looks like there was a typo in the patch and it set the default value to 1/5th the client value, instead of the intended 2x.    {noformat}  hadoop2 (pre-HADOOP-4687)$ git reset --hard 6fa4597e  hadoop2 (pre-HADOOP-4687)$ grep -r ipc.client.connection.maxidletime .   ./src/core/org/apache/hadoop/ipc/Client.java:      conf.getInt(""ipc.client.connection.maxidletime"", 10000); //10s  ./src/core/org/apache/hadoop/ipc/Server.java:    this.maxIdleTime = 2*conf.getInt(""ipc.client.connection.maxidletime"", 1000);  {noformat}",ipc
trunk test failure at org.apache.hadoop.fs.viewfs.TestViewFileSystemHdfs,I ran mvn test -Dtest=TestViewFileSystemHdfs on trunk and failed with the following error:    {code}  Failed tests:   testGetDelegationTokensWithCredentials(org.apache.hadoop.fs.viewfs.TestViewFileSystemHdfs): expected:<0> but was:<1>  {code}    This test was added in HADOOP-7933 .,viewfs
viewfs fails unless all mount points are available,"Obtaining a delegation token via viewfs will attempt to acquire tokens from all filesystems in the mount table.  All clients that obtain tokens, including job submissions, will fail if any of the mount points are unavailable -- even if paths in the unavailable mount will not be accessed.",viewfs
simplify common back to a single jar,The current build is too complex and we should move to a simple project for common.,build
Viewfs needs documentation,Currently the only documentation on how to use viewfs lives in the javadoc. Let's add some basic documentation under common (or perhaps federation since that's the context). ,viewfs
Debian Squeeze install of hadoop 1.0.0 .deb : 64 bit installs on 32 bit squeeze,dpkg -i hadoop_1.0.0-1_amd64.deb on a 32bit squeeze installs instead of complaining that about a 64 bit install on a 32 bit OS,scripts
hadoop 1.0.0 debian installer : hadoop-setup-conf.sh fails on chownsc,"install hadoop_1.0.0-1_i386.deb (""dpkg -i hadoop_1.0.0-1_i386.deb"") - OK  run hadoop-setup-conf.sh and accept defaults  script fails with three lines of ""chown: invalid user: `mr:hadoop'""  followed by configuration setup is completed run hadoop-setup-hdfs.sh  hadoop-setup-hdfs.sh fails with permission errors in the log and run directories",scripts
Remove duplicate definition of default config values,We define default configuration values in two places:  #1 The default.xml files (eg core-default.xml)  #2 The _DEFAULT defines in *Keys.java    This means the defaults used in the code may or may not be dead code based on whether the config is present in the default xml file. Would be good to define these in one place. Eg:  #1 Just have the defines in the code and figure out how to make those accessible as a loadable resource (eg could generate the default files from the defines in the KeysPublic* files)  #2 Remove one of the definitions entirely (possible to live w/o the default files?) or  #3 Remove the overlap between the code and default files,conf
HA: failover should error out if either host is not specified in the configs  ,Per HADOOP-7924 users should not be allowed to specify hosts on the command that are not listed as potential options in the config. This catches the case where someone does a failover X Y but there's a typo in X so we accidentally end up having two actives.,ha
Contradiction in Hadoop Documentation,"http://hadoop.apache.org/common/docs/current/api/org/apache/hadoop/util/Progressable.html The statement: ""This is especially important for operations which take an insignificant amount of time since, in-lieu of the reported progress, the framework has to assume that an error has occured and time-out the operation."" in the aforementioned URL directly contradicts http://hadoop.apache.org/common/docs/r0.20.2/mapred_tutorial.html#Reporter which states: ""where the application takes a significant amount of time to process individual key/value pairs, this is crucial since the framework might assume that the task has timed-out and kill that task.""    The two statements should be reconciled in order to remove confusion.",documentation
Apply audience and stability annotations to classes in Common for 1.x,Port HADOOP-6668 to branch-1.,documentation
Deadlock in class init.,"After HADOOP-7808, client-side commands hang occasionally. There are cyclic dependencies in NetUtils and SecurityUtil class initialization. Upon initial look at the stack trace, two threads deadlock when they hit the either of class init the same time.","security,util"
Support for protocol version and signature in PB,VersionedProtocol methods are currently not supported in PB.,ipc
Add back in the older -getmerge addnl param and add a test case for the new -nl param.,"This is to fix Eli's comments on the parent task:    bq. This breaks a public API, why not preserve it but add in the improved one and update the docs to refer to it? Also, the test for this (HDFS-2070) should be done before the change.",fs
Need generalized multi-token filesystem support,"Multi-token filesystem support and its interactions with the MR {{TokenCache}} is problematic.  The {{TokenCache}} tries to assume it has the knowledge to know if the tokens for a filesystem are available, which it can't possibly know for multi-token filesystems.  Filtered filesystems are also problematic, such as har on viewfs.  When mergeFs is implemented, it too will become a problem with the current implementation.  Currently {{FileSystem}} will leak tokens even when some tokens are already present.    The decision for token acquisition, and which tokens, should be pushed all the way down into the {{FileSystem}} level.  The {{TokenCache}} should be ignorant and simply request tokens from each {{FileSystem}}.","fs,security"
Errant println left in RPC.getHighestSupportedProtocol,"hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/ipc/RPC.java: System.out.println(""Size of protoMap for "" + rpcKind + "" ="" + getProtocolImplMap(rpcKind).size());  ",ipc
"When copying a file out of HDFS, modifying it, and uploading it back into HDFS, the put fails due to a CRC mismatch","Performing an hdfs -get on a file, modifying the file, and using hdfs -put to place the file back into HDFS results in a checksum error.  It seems that the problem is a .crc file being generated locally from the -get command even though the -crc option was NOT specified.",fs
All HAServiceProtocol methods have to throw IOException since they are invoked over the network,HAServiceProtocol methods have to throw ioexception in addition to other exceptions since they are RPCs which are invoked over the network.,ha
HA: HAServiceProtocol exceptions need to be unwrapped before it can be used,Remote exceptions for all the interfaces in HAServiceProtocol class has to be unwrapped before it can be used. All the HAServiceProtocol interfaces throw exceptions of type RemoteException by default.,ha
DistributedFileSystem close has severe consequences,"The way {{FileSystem#close}} works is very problematic.  Since the {{FileSystems}} are cached, any {{close}} by any caller will cause problems for every other reference to it.  Will add more detail in the comments.",fs
TestViewFsTrash incorrectly determines the user's home directory,"HADOOP-7284 added a test called TestViewFsTrash which contains the following code to determine the user's home directory. It only works if the user's directory is one level deep, and breaks if the home directory is more than one level deep (eg user hudson, who's home dir might be /usr/lib/hudson instead of /home/hudson).    {code}      // create a link for home directory so that trash path works      // set up viewfs's home dir root to point to home dir root on target      // But home dir is different on linux, mac etc.      // Figure it out by calling home dir on target           String homeDir = fsTarget.getHomeDirectory().toUri().getPath();     int indexOf2ndSlash = homeDir.indexOf('/', 1);     String homeDirRoot = homeDir.substring(0, indexOf2ndSlash);     ConfigUtil.addLink(conf, homeDirRoot,         fsTarget.makeQualified(new Path(homeDirRoot)).toUri());      ConfigUtil.setHomeDirConf(conf, homeDirRoot);     Log.info(""Home dir base "" + homeDirRoot);  {code}    Seems like we should instead search from the end of the path for the last slash and use that as the base, ie ask the home directory for its parent.              ","fs,test"
Allow Hadoop clients and services to run in an OSGi container,"There's been past discussion on running Hadoop client and service code in OSGi. This JIRA issue exists to wrap up the needs and issues.     # client-side use of public Hadoop APIs would seem most important.  # service-side deployments could offer benefits. The non-standard Hadoop Java security configuration may interfere with this goal.  # testing would all be functional with dependencies on external services, to make things harder.",util
Native code: configure LDFLAGS and CXXFLAGS to fix the build on systems like Ubuntu 11.10,"I noticed that the build of Hadoop trunk (0.24) and the 1.0/0.20.20x branches fail on Ubuntu 11.10 when trying to include the native code in the build. The reason is that the default behavior of {{ld}} was changed in Ubuntu 11.10.    *Background*    From [Ubuntu 11.10 Release Notes|https://wiki.ubuntu.com/OneiricOcelot/ReleaseNotes#GCC_4.6_Toolchain]:    {code}      The compiler passes by default two additional flags to the linker:        [...snipp...]        -Wl,--as-needed with this option the linker will only add a DT_NEEDED tag      for a dynamic library mentioned on the command line if if the library is      actually used.  {code}    This was apparently planned to be changed already back in 11.04 but was eventually reverted in the final release. From [11.04 Toolchain Transition|https://wiki.ubuntu.com/NattyNarwhal/ToolchainTransition#Indirect_Linking_for_Shared_Libraries]:    {quote}  Also in Natty, ld runs with the {{\--as-needed}} option enabled by default.  This means that, in the example above, if no symbols from {{libwheel}} were needed by racetrack, then {{libwheel}} would not be linked even if it was explicitly included in the command-line compiler flags. NOTE: The ld {{\--as-needed}} default was reverted for the final natty release, and will be re-enabled in the o-series.  {quote}    I already run into the same issue with Hadoop-LZO (https://github.com/kevinweil/hadoop-lzo/issues/33).  See the link and the patch for more details.  For Hadoop, the problematic configure script is {{native/configure}}.    *How to reproduce*    There are two ways to reproduce, depending on the OS you have at hand.    1. Use a stock Ubuntu 11.10 box and run a build that also compiles the native libs:    {code}  # in the top level directory of the 'hadoop-common' repo,  # i.e. where the BUILDING.txt file resides    $ mvn -Pnative compile  {code}    2. If you do not have Ubuntu 11.10 at hand, simply add {{-Wl,\--as-needed}} explicitly to {{LDFLAGS}}.  This configures {{ld}} to work like Ubuntu 11.10's default behavior.      *Error message (for trunk/0.24)*    Running the above build command will produce the following output (I added {{-e -X}} switches to mvn).    {code}  [DEBUG] Executing: /bin/sh -l -c cd /home/mnoll/programming/git/hadoop/hadoop-common/hadoop-common-project/hadoop-common/target/native && make DESTDIR=/home/mnoll/programming/git/hadoop/hadoop-common/hadoop-common-project/hadoop-common/target/native/target install  [INFO] /bin/bash ./libtool  --tag=CC   --mode=compile gcc -DHAVE_CONFIG_H -I.  -I/usr/lib/jvm/default-java/include -I/usr/lib/jvm/default-java/include/linux -I/home/mnoll/programming/git/hadoop/hadoop-common/hadoop-common-project/hadoop-common/target/native/src -I/home/mnoll/programming/git/hadoop/hadoop-common/hadoop-common-project/hadoop-common/target/native/javah -I/usr/local/include -g -Wall -fPIC -O2 -m64 -g -O2 -MT ZlibCompressor.lo -MD -MP -MF .deps/ZlibCompressor.Tpo -c -o ZlibCompressor.lo `test -f 'src/org/apache/hadoop/io/compress/zlib/ZlibCompressor.c' || echo './'`src/org/apache/hadoop/io/compress/zlib/ZlibCompressor.c  [INFO] libtool: compile:  gcc -DHAVE_CONFIG_H -I. -I/usr/lib/jvm/default-java/include -I/usr/lib/jvm/default-java/include/linux -I/home/mnoll/programming/git/hadoop/hadoop-common/hadoop-common-project/hadoop-common/target/native/src -I/home/mnoll/programming/git/hadoop/hadoop-common/hadoop-common-project/hadoop-common/target/native/javah -I/usr/local/include -g -Wall -fPIC -O2 -m64 -g -O2 -MT ZlibCompressor.lo -MD -MP -MF .deps/ZlibCompressor.Tpo -c src/org/apache/hadoop/io/compress/zlib/ZlibCompressor.c  -fPIC -DPIC -o .libs/ZlibCompressor.o  [INFO] src/org/apache/hadoop/io/compress/zlib/ZlibCompressor.c: In function 'Java_org_apache_hadoop_io_compress_zlib_ZlibCompressor_initIDs':  [INFO] src/org/apache/hadoop/io/compress/zlib/ZlibCompressor.c:71:41: error: expected expression before ',' token  [INFO] make: *** [ZlibCompressor.lo] Error 1  {code}      *How to fix*    The fix involves adding proper settings for {{LDFLAGS}} to the build config.  In trunk, this is {{hadoop-common-project/hadoop-common/pom.xml}}.  In branches 1.0 and 0.20.20x, this is {{build.xml}}.    Basically, the fix explicitly adds {{-Wl,\--no-as-needed}} to {{LDFLAGS}}.  Special care must be taken not to add this option when running on Mac OS as its version of ld does not support this option (and does not need it because by default it behaves as desired).",build
API Compatibility between 0.23 and 1.0 in org.apache.hadoop.io.compress.Decompressor,HADOOP-6835 introduced in org.apache.hadoop.io.compress.Decompressor the public int getRemaining() API. The forces custom decompressors to implement the new API in order to continue to be used.,io
Improve documentation for org.apache.hadoop.io.compress.Decompressor.getRemaining,None,io
UserGroupInformation fails to login if thread's context classloader can't load HadoopLoginModule,"In a few hard-to-reproduce situations, we've seen a problem where the UGI login call causes a failure to login exception with the following cause:    Caused by: javax.security.auth.login.LoginException: unable to find   LoginModule class: org.apache.hadoop.security.UserGroupInformation   $HadoopLoginModule    After a bunch of debugging, I determined that this happens when the login occurs in a thread whose Context ClassLoader has been set to null.",security
HA: failover should be able to pass args to fencers,"Currently fencing method args are passed in the config (eg ""sshfence(host1,8022)"" indicates to fence the service running on port 8022 on host1. The target service to fence should be determined by the failover (we fence the currently active service) not configured statically.",ha
Add hadoop --loglevel option to change log level,"It would be helpful if bin/hadoop had --loglevel option to change the log level. Currently users need to set an env variable or prefix the command (eg ""HADOOP_ROOT_LOGGER=DEBUG,console hadoop distcp"") which isn't very user friendly.",scripts
maven build should be super fast when there are no changes,"I use this command ""mvn -Pdist -P-cbuild -Dmaven.javadoc.skip -DskipTests install"" to build. Without ANY changes in code, running this command takes 1:32. It seems to me this is too long. Investigate if this time can be reduced drastically.",build
Support setting the run-as user in unsecure mode,"Some applications need to be able to perform actions (such as launch MR jobs) from map or reduce tasks. In earlier unsecure versions of hadoop (20.x), it was possible to do this by setting user.name in the configuration. But in 20.205 and 1.0, when running in unsecure mode, this does not work. (In secure mode, you can do this using the kerberos credentials).",security
HA: the FailoverController should check the standby is ready before failing over,"The FC in preFailoverChecks should check that the target service is ready for failover (eg in the case of HDFS, that it's not in SM) before failing over to it. We'll need to provide a force option as well since the standby may not actually be ready until the failover has been initiated (eg because becoming active kicks it to check the log and see newly allocated blocks).",ha
Hadoop ignores old-style config options for enabling compressed output,Hadoop seems to ignore the config options even though they are printed as deprecation warnings in the log: mapred.output.compress and  mapred.output.compression.codec    - settings that work on 0.20 but not on 0.23  mapred.output.compress=true  mapred.output.compression.codec=org.apache.hadoop.io.compress.BZip2Codec    - settings that work on 0.23  mapreduce.output.fileoutputformat.compress=true  mapreduce.output.fileoutputformat.compress.codec=org.apache.hadoop.io.compress.BZip2Codec    This breaks backwards compatibility and causes existing jobs to fail.    This was found to happen due to the JobSubmitter writing out the job.xml file with the old-style configs and can be fixed by handdling deprecation before the file is written out.  ,conf
"GenericOptionsParser ought to have better options parsing, and not pick only the options in the front","The ToolRunner provided GenericOptionsParser stops parsing known options when it encounters the first unknown option string in the String[] today.    Ideally we should have it be more intelligent and sift through the whole array to pick up all opts, and not just the opts that are at the front of the invoked CLI.",util
change location of the native libraries to lib instead of lib/native,None,"build,conf,documentation,scripts"
SequenceFile.createWriter(...createParent...) no longer works on existing file,"SequenceFile.createWriter no longer works on an existing file, because old version specified OVEWRITE by default and new version does not.  This breaks some HBase tests.    Tested against trunk.    Patch with test to follow.",io
CheckFileSystem does not correctly honor setVerifyChecksum,"Regardless of the verify checksum flag, {{ChecksumFileSystem#open}} will instantiate a {{ChecksumFSInputChecker}} instead of a normal stream.",fs
"""hadoop archive"" fails with ClassNotFoundException","Running ""hadoop archive"" from a command prompt results in this error:    Exception in thread ""main"" java.lang.NoClassDefFoundError: org/apache/hadoop/tools/HadoopArchives  Caused by: java.lang.ClassNotFoundException: org.apache.hadoop.tools.HadoopArchives    java.net.URLClassLoader$1.run(URLClassLoader.java:202)    java.security.AccessController.doPrivileged(Native Method)    java.net.URLClassLoader.findClass(URLClassLoader.java:190)    java.lang.ClassLoader.loadClass(ClassLoader.java:306)    sun.misc.Launcher$AppClassLoader.loadClass(Launcher.java:301)    java.lang.ClassLoader.loadClass(ClassLoader.java:247)  Could not find the main class: org.apache.hadoop.tools.HadoopArchives.  Program will exit.      The hadoop front-end script expects the TOOL_PATH environment variable to be set, but nothing provides a default value for it if it is not set.  Since $TOOL_PATH expands to nothing, the hadoop-archives jar under share/hadoop/tools/lib isn't found, and we end up with a ClassNotFound exception.",scripts
ChecksumFileSystem's rename doesn't correctly handle checksum files,"Rename will move the src file and its crc *if present* to the destination.  If the src file has no crc, but the destination already exists with a crc, then src will be associated with the old file's crc.  Subsequent access to the file will fail with checksum errors.",fs
TestFSInputChecker is failing in trunk.,Trunk build number 939 failed with TestFSInputChecker.  https://builds.apache.org/job/Hadoop-Hdfs-trunk/939/    junit.framework.AssertionFailedError: expected:<10> but was:<0>    junit.framework.Assert.fail(Assert.java:47)    junit.framework.Assert.failNotEquals(Assert.java:283)    junit.framework.Assert.assertEquals(Assert.java:64)    junit.framework.Assert.assertEquals(Assert.java:130)    junit.framework.Assert.assertEquals(Assert.java:136)    org.apache.hadoop.hdfs.TestFSInputChecker.checkSkip(TestFSInputChecker.java:194)    org.apache.hadoop.hdfs.TestFSInputChecker.testChecker(TestFSInputChecker.java:224)  ,fs
Make SplitCompressionInputStream an interface instead of an abstract class,"To be splittable, a codec must extend SplittableCompressionCodec which has a function returning a SplitCompressionInputStream.    SplitCompressionInputStream is an abstract class which extends CompressionInputStream, the lowest level compression stream class.    So, no codec that wants to be splittable can reuse any code from DecompressorStream or BlockDecompressorStream.    You either have to duplicate that code, or not be splittable.    SplitCompressionInputStream adds just a few very thin functions. Can we make this an interface rather than an abstract class to allow splittable decompression streams to extend DecompressorStream, BlockDecompressorStream, or whatever else we should scheme up in the future?    To my knowledge, this would impact only the BZip2 codec. None of the other implement this form of splittability yet.    LineRecordReader looks only at whether the codec is an instance of SplittableCompressionCodec, and then calls the appropriate version of createInputStream. This would not change, so the application code should not have to change, just BZip and SplitCompressionInputStream.",io
Multiple SLF4J binding message in .out file for all daemons,{code:xml}  SLF4J: Class path contains multiple SLF4J bindings.  SLF4J: Found binding in [jar:file:/home/hadoop/install/hadoop-0.23.1-SNAPSHOT/share/hadoop/common/lib/slf4j-log4j12-1.6.1.jar!/org/slf4j/impl/StaticLoggerBinder.class]  SLF4J: Found binding in [jar:file:/home/hadoop/install/hadoop-0.23.1-SNAPSHOT/share/hadoop/hdfs/lib/slf4j-log4j12-1.6.1.jar!/org/slf4j/impl/StaticLoggerBinder.class]  SLF4J: Found binding in [jar:file:/home/hadoop/install/hadoop-0.23.1-SNAPSHOT/share/hadoop/mapreduce/lib/slf4j-log4j12-1.6.1.jar!/org/slf4j/impl/StaticLoggerBinder.class]  SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.  {code},build
HA: use substitution token for fencing argument,"Per HADOOP-7983 currently the fencer always passes the target host:port to fence as the first argument to the fence script, it would be better to use a substitution token. That is to say, the user would configure ""myfence.sh $TARGETHOST foo bar"" and Hadoop would substitute the target. This would allow use of pre-existing scripts that might have a different ordering of arguments without a wrapper.",ha
Document how to change the default loglevels,"The hadoop.root.logger defined in log4j.properties is only used by applications. The scripts (bin and daemons) always set it to HADOOP_ROOT_LOGGER or ""INFO,console"" so the installed log4j.properties appears to be ignored. The wiki doesn't cover this:  http://wiki.apache.org/hadoop/HowToConfigure    We should update the cluster setup docs to indicate how the loglevel is configured and also add a comment in log4j.properties that the hadoop.root.logger defined there is not used by Hadoop itself, that HADOOP_ROOT_LOGGER must be set. This is relevant for commands and daemons, though the latter also has daemonlog (http://hadoop.apache.org/common/docs/current/commands_manual.html#daemonlog).  ",documentation
Create hadoop-client and hadoop-minicluster artifacts for downstream projects ,"Using Hadoop from projects like Pig/Hive/Sqoop/Flume/Oozie or any in-house system that interacts with Hadoop is quite challenging for the following reasons:    * *Different versions of Hadoop produce different artifacts:* Before Hadoop 0.23 there was a single artifact hadoop-core, starting with Hadoop 0.23 there are several (common, hdfs, mapred*, yarn*)    * *There are no 'client' artifacts:* Current artifacts include all JARs needed to run the services, thus bringing into clients several JARs that are not used for job submission/monitoring (servlet, jsp, tomcat, jersey, etc.)    * *Doing testing on the client side is also quite challenging as more artifacts have to be included than the dependencies define:* for example, the history-server artifact has to be explicitly included. If using Hadoop 1 artifacts, jersey-server has to be explicitly included.    * *3rd party dependencies change in Hadoop from version to version:* This makes things complicated for projects that have to deal with multiple versions of Hadoop as their exclusions list become a huge mix & match of artifacts from different Hadoop versions and it may be break things when a particular version of Hadoop requires a dependency that other version of Hadoop does not require.    Because of this it would be quite convenient to have the following 'aggregator' artifacts:    * *org.apache.hadoop:hadoop-client* : it includes all required JARs to use Hadoop client APIs (excluding all JARs that are not needed for it)  * *org.apache.hadoop:hadoop-minicluster* : it includes all required JARs to run Hadoop Mini Clusters    These aggregator artifacts would be created for current branches under development (trunk, 0.22, 0.23, 1.0) and for released versions that are still in use.    For branches under development, these artifacts would be generated as part of the build.    For released versions we would have a a special branch used only as vehicle for publishing the corresponding 'aggregator' artifacts.  ",build
hadoop-config.sh spews error message when HADOOP_HOME_WARN_SUPPRESS is set to true and HADOOP_HOME is present,Running hadoop daemon commands when HADOOP_HOME_WARN_SUPPRESS is set to true and HADOOP_HOME is present produces:  {noformat}    [: 76: true: unexpected operator  {noformat},scripts
hadoop-daemon.sh and yarn-daemon.sh are trying to mkdir and chow log/pid dirs which can fail,"Here's what I see when using Hadoop in Bigtop:    {noformat}  $ sudo /sbin/service hadoop-hdfs-namenode start  Starting Hadoop namenode daemon (hadoop-namenode): chown: changing ownership of `/var/log/hadoop': Operation not permitted  starting namenode, logging to /var/log/hadoop/hadoop-hdfs-namenode-centos5.out  {noformat}    This is a cosmetic issue, but it would be nice to fix it.",scripts
ViewFileSystem does not honor setVerifyChecksum,{{ViewFileSystem#setVerifyChecksum}} is a no-op.  It should call {{setVerifyChecksum}} on the mount points.,fs
"ViewFileSystem does not correctly implement getDefaultBlockSize, getDefaultReplication, getContentSummary",{{ViewFileSystem}} incorrectly returns the {{FileSystem}} default values for {{getDefaultBlockSize()}} and {{getDefaultReplication()}}.  This causes files to be created with incorrect values.  The problem is that the current apis are insufficient for viewfs because the defaults depend on the underlying mount point.  These methods need counterparts that accept a {{Path}} so viewfs can resolve the mount point for a path.,fs
ChRootFileSystem should extend FilterFileSystem,"{{ChRootFileSystem}} simply extends {{FileSystem}}, and attempts to delegate some methods to the underlying mount point.  It is essentially the same as {{FilterFileSystem}} but it mangles the paths to include the chroot path.  Unfortunately {{ChRootFileSystem}} is not delegating some methods that should be delegated.  Changing the inheritance will prevent a copy-n-paste of code for HADOOP-8013 and HADOOP-8014 into both {{ChRootFileSystem}} and {{FilterFileSystem}}.",fs
Configure hadoop-main pom to get rid of M2E plugin execution not covered,Last M2Eclipse plugin (maven plugin for eclipse) shows nasty errors when importing the hadoop maven modules (read more on http://wiki.eclipse.org/M2E_plugin_execution_not_covered).    The solution is to configure the build section of the pom with a org.eclipse.m2e:lifecycle-mapping plugin.    This configuration has no influence on the Maven build itself.  ,build
Reduce the allowed Javadoc warnings from 13 to 11,"OK_JAVADOC_WARNINGS is set too high in hadoop-common-project/dev-support/test-patch.properties    {noformat}  $ cd hadoop-common-project/  $ mvn clean test javadoc:javadoc -DskipTests -Pdocs -DHadoopPatchProcess > ~/patchJavadocWarnings.txt.hadoop-trunk 2>&1  $ grep '\[WARNING\]' ~/patchJavadocWarnings.txt.hadoop-trunk | awk '/Javadoc Warnings/,EOF' | grep warning | awk 'BEGIN {total = 0} {total += 1} END {print total}'  11  {noformat}    {noformat}  $ cat dev-support/test-patch.properties  OK_RELEASEAUDIT_WARNINGS=0  OK_FINDBUGS_WARNINGS=0  OK_JAVADOC_WARNINGS=13  {noformat}    This will allow in 2 new javadoc warnings and still +1 the build",build
Hadoop ignores old-style config options for enabling compressed output when passed on from PIG,Hadoop seems to ignore the config options even though they are printed as deprecation warnings in the log: mapred.output.compress and  mapred.output.compression.codec    - settings that work on 0.20 but not on 0.23  mapred.output.compress=true  mapred.output.compression.codec=org.apache.hadoop.io.compress.BZip2Codec    - settings that work on 0.23  mapreduce.output.fileoutputformat.compress=true  mapreduce.output.fileoutputformat.compress.codec=org.apache.hadoop.io.compress.BZip2Codec    This breaks backwards compatibility and causes existing jobs to fail.    This is different from HADOOP-7993 in that that one fixes any jobs run from the CLI but PIG jobs are still facing this issue.,conf
Deprecate checkTGTAndReloginFromKeytab(),"checkTGTAndReloginFromKeytab() does a small check and then calls reloginFromKeytab() which has been updated to do the same check. checkTGTAndReloginFromKeytab() is redundant, and should be deprecated if it is publicly visible, or just removed if it is not publicly visible.",security
Add unset() method to Configuration,"HADOOP-7001 introduced the *Configuration.unset(String)* method.    MAPREDUCE-3727 requires that method in order to be back-ported.    This is required to fix an issue manifested when running MR/Hive/Sqoop jobs from Oozie, details are in MAPREDUCE-3727.  ",conf
Debugging Hadoop daemons in Eclipse / Netbeans debugger,To debug Hadoop daemons for prototyping; I discovered the use of Eclipse and Netbeans for the purpose.  To perform this import the source code of Hadoop as a Java Project (you will have to do some refactoring to make sure the imports and packages are correct)  instead of an ant project or importing an existing project.  Please make sure the apache-commons libraries are in classpath and you should now be able to launch the particular daemon from their respective packages inside the debugger.  I find it particularly useful to use the eclipse and netbeans standard debugger to perform any code increments as its fairly simple to perform stacktrace and point to the exact code error.  ,test
Mbeans and MBeanUtil are almost duplicated in code.,Looks Mbeans.java and MBeanUtil.java are duplicated and has the similar set of apis.   Not sure it was intentional to keep that.,metrics
org.apache.hadoop.io.nativeio.NativeIO.posixFadviseIfPossible does not handle EINVAL,"When Hadoop's directories reside on tmpfs in Debian Wheezy (and possibly all Linux 3.1 distros) in an installation that is using the native libraries fadvise returns EINVAL when trying to run a MapReduce job.  Since EINVAL isn't handled all MapReduce jobs report ""Map output lost, rescheduling: getMapOutput"".    A full stack trace for this issue looks like this:    [exec] 12/02/03 09:50:58 INFO mapred.JobClient: Task Id : attempt_201202030949_0001_m_000000_0, Status : FAILED  [exec] Map output lost, rescheduling: getMapOutput(attempt_201202030949_0001_m_000000_0,0) failed :  [exec] EINVAL: Invalid argument  [exec] at org.apache.hadoop.io.nativeio.NativeIO.posix_fadvise(Native Method)  [exec] at org.apache.hadoop.io.nativeio.NativeIO.posixFadviseIfPossible(NativeIO.java:177)  [exec] at org.apache.hadoop.mapred.TaskTracker$MapOutputServlet.doGet(TaskTracker.java:4026)  [exec] at javax.servlet.http.HttpServlet.service(HttpServlet.java:707)  [exec] at javax.servlet.http.HttpServlet.service(HttpServlet.java:820)  [exec] at org.mortbay.jetty.servlet.ServletHolder.handle(ServletHolder.java:511)  [exec] at org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1221)  [exec] at org.apache.hadoop.http.HttpServer$QuotingInputFilter.doFilter(HttpServer.java:829)  [exec] at org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1212)  [exec] at org.mortbay.jetty.servlet.ServletHandler.handle(ServletHandler.java:399)  [exec] at org.mortbay.jetty.security.SecurityHandler.handle(SecurityHandler.java:216)    Some logic will need to be implemented to handle EINVAL to properly support all file systems.",native
Configuration class can throw exceptions in quiet mode; quiet mode usage unclear,"hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/conf/Configuration.java          if (doc == null && root == null) {          if (quiet)            return;          throw new RuntimeException(name + "" not found"");        }      Unclear why a diagnostic mode would throw an exception, while normally off it would not.    It's also not clear why 'quiet' is being passed around as well. Why not use logging levels and logging configuration and remove 'quiet' mode altogether?",conf
